midi,mp3,dur_mp3,dur_midi,diff,author
bon_jovi+bon_jovi_it_s_my_life_5,bon_jovi_it_s_my_life,223.42530612244897,224.0,0.5746938775510273,bon_jovi
bon_jovi+bon_jovi_livin_on_a_prayer_3,bon_jovi_livin_on_a_prayer,250.9322448979592,252.1875,1.2552551020408202,bon_jovi
bon_jovi+bon_jovi_bed_of_roses,bon_jovi_bed_of_roses,394.4751020408164,395.5551599999942,1.08005795917785,bon_jovi
bon_jovi+bon_jovi_livin_on_a_prayer,bon_jovi_livin_on_a_prayer,250.9322448979592,252.1875,1.2552551020408202,bon_jovi
bon_jovi+bon_jovi_it_s_my_life_6,bon_jovi_it_s_my_life,223.42530612244897,224.0,0.5746938775510273,bon_jovi
bon_jovi+bon_jovi_it_s_my_life_2,bon_jovi_it_s_my_life,223.42530612244897,222.5,0.9253061224489728,bon_jovi
bon_jovi+bon_jovi_it_s_my_life_11,bon_jovi_it_s_my_life,223.42530612244897,224.8736460000027,1.4483398775537353,bon_jovi
bon_jovi+bon_jovi_it_s_my_life_3,bon_jovi_it_s_my_life,223.42530612244897,224.0,0.5746938775510273,bon_jovi
bon_jovi+bon_jovi_it_s_my_life_4,bon_jovi_it_s_my_life,223.42530612244897,222.0,1.4253061224489727,bon_jovi
bon_jovi+bon_jovi_it_s_my_life_9,bon_jovi_it_s_my_life,223.42530612244897,222.5,0.9253061224489728,bon_jovi
bon_jovi+bon_jovi_livin_on_a_prayer_4,bon_jovi_livin_on_a_prayer,250.9322448979592,252.1875,1.2552551020408202,bon_jovi
bullet_for_my_valentine+bullet_for_my_valentine_tears_don_t_fall_2,bullet_for_my_valentine_tears_don_t_fall,348.4734693877551,347.47195999999803,1.0015093877570391,bullet_for_my_valentine
bullet_for_my_valentine+bullet_for_my_valentine_breaking_point_2,bullet_for_my_valentine_breaking_point,222.53714285714287,223.7835599999935,1.246417142850646,bullet_for_my_valentine
bullet_for_my_valentine+bullet_for_my_valentine_the_poison_3,bullet_for_my_valentine_the_poison,219.53306122448976,218.0640800000029,1.4689812244869245,bullet_for_my_valentine
bullet_for_my_valentine+bullet_for_my_valentine_dignity_2,bullet_for_my_valentine_dignity,269.0873469387755,270.1618919999985,1.0745450612229774,bullet_for_my_valentine
bullet_for_my_valentine+bullet_for_my_valentine_all_these_things_i_hate,bullet_for_my_valentine_all_these_things_i_hate,225.98530612244895,225.8063500000007,0.1789561224482838,bullet_for_my_valentine
bullet_for_my_valentine+bullet_for_my_valentine_p_o_w,bullet_for_my_valentine_p_o_w,233.8220408163265,231.999767999993,1.822272816333537,bullet_for_my_valentine
bullet_for_my_valentine+bullet_for_my_valentine_breaking_point,bullet_for_my_valentine_breaking_point,222.53714285714287,222.36464249999497,0.1725003571478964,bullet_for_my_valentine
bullet_for_my_valentine+bullet_for_my_valentine_creeping_death,bullet_for_my_valentine_creeping_death,395.80734693877554,395.7766919999958,0.030654938779719,bullet_for_my_valentine
bullet_for_my_valentine+bullet_for_my_valentine_tears_don_t_fall,bullet_for_my_valentine_tears_don_t_fall,348.4734693877551,346.9567254999974,1.5167438877576842,bullet_for_my_valentine
